,VCL,MYH9,TLN1,TLN2,ACTN1,ACTN3,ACTN4,PLEC,VIM,FLNA,FLNB,FLNC,KRT18,GSN,LMNA,LMNB1,LMNB2,ACTG1,young_modulus_median_status
6307,45.66666666666666,532.0,145.33333333333334,8.333333333333334,290.0,25.0,298.0,260.6666666666667,1029.3333333333333,231.3333333333333,349.33333333333326,372.0,0.0,22.0,595.0,5.333333333333333,13.666666666666664,392.66666666666674,0
1140,16.333333333333332,120.66666666666669,83.66666666666667,6.0,209.0,25.66666666666667,330.6666666666667,456.0,229.66666666666663,138.0,50.33333333333334,10.666666666666666,5.666666666666668,124.33333333333331,801.6666666666665,34.666666666666664,12.666666666666664,217.3333333333333,1
1378,10.333333333333334,112.66666666666669,85.33333333333333,3.333333333333333,186.66666666666663,24.33333333333333,316.6666666666667,266.6666666666667,253.66666666666663,131.66666666666666,35.666666666666664,12.0,1.6666666666666667,137.0,722.0,31.0,12.0,229.66666666666663,1
259,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
2307,83.66666666666667,571.0,144.33333333333334,13.666666666666664,510.66666666666674,39.333333333333336,567.0,1173.3333333333333,249.0,260.3333333333333,881.3333333333335,100.33333333333331,52.66666666666666,34.0,659.0,17.333333333333332,16.666666666666668,428.66666666666674,1
5639,20.0,366.33333333333326,53.33333333333334,1.6666666666666667,159.33333333333334,23.33333333333333,323.3333333333333,672.6666666666666,528.0,302.0,386.66666666666674,50.33333333333334,0.0,7.666666666666668,634.6666666666666,25.0,12.333333333333336,338.3333333333333,1
3713,24.66666666666667,311.3333333333333,36.66666666666666,3.0,887.3333333333335,55.66666666666666,778.0,1603.666666666667,69.0,247.3333333333333,534.3333333333334,26.0,348.0,15.0,543.3333333333334,22.33333333333333,16.666666666666668,344.33333333333326,1
5433,24.66666666666667,407.66666666666674,64.66666666666667,3.333333333333333,204.0,27.33333333333333,333.3333333333333,832.0,512.3333333333334,345.33333333333326,383.33333333333326,47.66666666666666,0.0,9.666666666666666,648.6666666666666,24.66666666666667,12.0,425.0,1
4626,42.0,278.3333333333333,40.0,3.0,128.33333333333334,23.66666666666667,226.3333333333333,308.3333333333333,4.666666666666667,115.66666666666669,585.3333333333334,17.333333333333332,201.0,116.0,497.66666666666674,29.0,8.333333333333334,370.66666666666674,0
2996,1.3333333333333333,228.3333333333333,7.0,0.0,64.0,11.666666666666664,119.33333333333331,112.66666666666669,40.333333333333336,58.66666666666666,65.66666666666667,0.6666666666666666,21.33333333333333,2.6666666666666665,405.0,10.0,1.0,205.3333333333333,0
5322,13.666666666666664,347.66666666666674,57.66666666666666,1.6666666666666667,172.66666666666663,26.33333333333333,315.0,552.3333333333334,438.66666666666674,323.6666666666667,410.66666666666674,56.0,0.0,10.333333333333334,571.6666666666666,19.0,8.666666666666666,273.6666666666667,1
1214,13.0,108.33333333333331,73.33333333333333,5.333333333333333,158.33333333333334,25.0,300.3333333333333,319.6666666666667,239.3333333333333,127.66666666666669,34.666666666666664,10.0,0.0,111.33333333333331,761.0,26.66666666666667,10.0,209.0,1
3098,12.666666666666664,244.3333333333333,19.666666666666668,1.3333333333333333,118.33333333333331,15.0,189.0,173.33333333333337,40.66666666666666,95.0,249.3333333333333,4.666666666666667,28.0,23.33333333333333,418.0,13.333333333333336,4.333333333333333,272.0,1
163,16.0,227.66666666666663,19.33333333333333,0.0,69.33333333333333,18.33333333333333,266.3333333333333,7.666666666666668,0.0,26.0,106.0,5.333333333333333,63.66666666666666,0.0,340.6666666666667,35.666666666666664,17.666666666666668,232.3333333333333,0
5779,15.666666666666664,234.0,39.333333333333336,3.333333333333333,135.66666666666666,20.666666666666668,214.66666666666663,510.66666666666674,334.6666666666667,199.66666666666663,239.66666666666663,34.0,0.0,9.666666666666666,386.0,15.0,8.0,205.3333333333333,0
2907,13.0,261.0,26.33333333333333,2.333333333333333,189.0,14.333333333333336,199.0,217.0,70.0,111.0,267.6666666666667,6.333333333333332,41.0,16.666666666666668,612.0,23.0,10.0,251.0,1
1583,64.66666666666667,547.3333333333334,117.33333333333331,10.666666666666666,412.0,36.333333333333336,576.6666666666666,776.0,220.66666666666663,222.66666666666663,788.6666666666665,93.0,49.66666666666666,28.0,602.3333333333334,19.33333333333333,15.666666666666664,364.0,1
